Wall time,Step,Value
1528923120.672335,0,0.902513325214386
1528923202.4102204,1,0.9973887205123901
1528923284.4288802,2,0.9992383718490601
1528923367.1806397,3,0.99967360496521
1528923449.374182,4,0.9998912215232849
1528923531.0297976,5,0.9998912215232849
1528923612.679602,6,0.999782383441925
1528923694.2704282,7,0.999782383441925
1528923775.0591564,8,0.9998912215232849
1528923855.7864604,9,1.0
1528923937.9779432,10,1.0
1528924019.0835907,11,0.999782383441925
1528924100.8826945,12,1.0
1528924181.616478,13,1.0
1528924264.0948343,14,1.0
1528924346.9582407,15,1.0
1528924428.164654,16,0.9998912215232849
1528924510.1875238,17,1.0
1528924592.5571418,18,1.0
1528924674.2920003,19,1.0
1528924755.9264116,20,0.9998912215232849
1528924838.0726533,21,1.0
1528924921.0393198,22,1.0
1528925003.798395,23,0.9998912215232849
1528925085.8556786,24,1.0
1528925166.197388,25,1.0
1528925250.6713028,26,1.0
1528925333.4306936,27,1.0
1528925414.8302374,28,1.0
1528925496.5078702,29,0.9998912215232849
